Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
184.105.99.75-192.168.1.4-443-56940-6,184.105.99.75,443,192.168.1.4,56940,6,18/12/2024 07:50:15 PM,408,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,154411.76470588235,12254.901960784315,102.0,136.29380029920657,288.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,288.0,0.0,288.0,288.0,1,0,0,0,60,40,7352.941176470588,4901.9607843137255,0.0,39.0,17.0,19.411336893681487,376.79999999999995,2,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,0,0,0,0,83,252,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
35.71.162.24-192.168.1.4-443-56702-6,35.71.162.24,443,192.168.1.4,56702,6,18/12/2024 07:50:55 PM,1029,3,4,63.0,39.0,63.0,0.0,21.0,36.373066958946424,39.0,0.0,9.75,19.5,99125.36443148689,6802.721088435374,171.5,206.0783831458312,529.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,330.6666666666667,172.37265831138455,529.0,217.0,0,0,0,0,60,80,2915.451895043732,3887.2691933916426,0.0,63.0,12.75,24.464259645450134,598.5,3,0,0,2,7,0,0,0,1.0,14.571428571428571,21.0,9.75,0,0,0,0,0,0,0,0,0,0,278,255,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
15.197.237.19-192.168.1.4-443-56710-6,15.197.237.19,443,192.168.1.4,56710,6,18/12/2024 07:50:55 PM,2567,3,4,63.0,39.0,39.0,0.0,21.0,19.672315572906,39.0,0.0,9.75,19.5,39735.09933774835,2726.9185820023376,427.8333333333333,640.7468819016341,1690.0,0.0,478.0,239.0,337.9970414071697,478.0,0.0,2550.0,850.0,753.1434126379916,1690.0,235.0,0,0,0,0,60,80,1168.6793922867162,1558.2391897156215,0.0,39.0,12.75,18.195368327446097,331.07142857142856,2,0,0,3,7,0,0,0,1.0,14.571428571428571,21.0,9.75,0,0,0,0,0,0,0,0,0,0,575,253,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-54.161.22.29-57190-443-6,192.168.1.4,57190,54.161.22.29,443,6,18/12/2024 07:50:53 PM,6973188,16,17,2806.0,5346.0,1203.0,0.0,175.37499999999997,389.9266383992421,1452.0,0.0,314.47058823529414,558.1323899451477,1169.0492211023136,4.732412205149209,217912.12500000003,320719.3696725303,1010661.0,0.0,6771969.0,451464.60000000003,492572.4169691484,1329062.0,545.0,6756335.0,422270.93750000006,535047.9300465793,1327791.0,0.0,0,0,0,0,332,400,2.294502887345071,2.4379093178041376,0.0,1452.0,239.76470588235287,476.2075597139327,226773.6399286988,2,2,0,9,32,0,0,0,1.0,247.03030303030303,175.375,314.47058823529414,0,0,0,8148,12,5251,5,935,5,1782,65535,189,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
54.161.22.29-192.168.1.4-443-57190-6,54.161.22.29,443,192.168.1.4,57190,6,18/12/2024 07:51:00 PM,110,1,2,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,218181.81818181818,27272.727272727272,55.0,42.42640687119285,85.0,25.0,0,0,0,0,0,85.0,85.0,0.0,85.0,85.0,1,0,0,0,20,40,9090.90909090909,18181.81818181818,0.0,24.0,12.0,13.856406460551018,192.0,0,0,1,1,3,0,0,0,2.0,16.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,189,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-3.229.246.5-50104-443-6,192.168.1.4,50104,3.229.246.5,443,6,18/12/2024 07:50:21 PM,32113085,10,18,76.0,1073.0,45.0,0.0,7.6,16.358484037342826,99.0,0.0,59.611111111111114,27.928772616591676,35.77980751460036,0.8719187209824283,1189373.518518519,3986073.0475261793,1.5845671E7,0.0,3.1792304E7,3532478.222222222,6509434.985170522,1.5845671E7,54233.0,3.174009E7,1867064.1176470588,5013166.118286886,1.6166566E7,0.0,1,0,0,0,200,360,0.3113995432080101,0.5605191777744182,0.0,99.0,41.17241379310345,34.36886980717667,1181.21921182266,0,0,0,19,28,0,0,0,1.0,42.642857142857146,7.6,59.611111111111114,0,0,0,961,15,665,5,38,9,536,252,3443,1,20,909008.5,757505.8170156187,1444646.0,373371.0,1.49871435E7,1214141.2341702674,1.5845671E7,1.4128616E7,NeedManualLabel
192.168.1.4-15.197.237.19-57199-443-6,192.168.1.4,57199,15.197.237.19,443,6,18/12/2024 07:50:56 PM,1266053,13,20,2011.0,5321.0,954.0,0.0,154.69230769230768,294.91987177745546,1452.0,0.0,266.04999999999995,518.1422762340983,5791.226749591052,26.065259511252687,39564.15625000001,95994.34427732116,410411.0,0.0,1266053.0,105504.41666666666,169961.15816934512,523007.0,77.0,1239927.0,65259.315789473694,118887.48709368154,410411.0,0.0,0,0,0,0,308,412,10.268132534735907,15.797126976516779,0.0,1452.0,215.64705882352942,436.59508196628593,190615.26559714793,0,2,0,16,32,0,0,0,1.0,222.1818181818182,154.69230769230768,266.05,0,0,0,7332,19,5916,0,0,0,0,65535,333,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
57.144.177.32-192.168.1.4-443-57013-6,57.144.177.32,443,192.168.1.4,57013,6,18/12/2024 07:50:46 PM,5012822,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.567771207515447,0.9974421593266228,1253205.5,2505901.673339226,5012058.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012401.0,5012401.0,0.0,5012401.0,5012401.0,1,0,0,0,60,40,0.5984652955959737,0.3989768637306491,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,421.0,0.0,421.0,421.0,5012058.0,0.0,5012058.0,5012058.0,NeedManualLabel
192.168.1.4-192.168.1.1-51869-53-17,192.168.1.4,51869,192.168.1.1,53,17,18/12/2024 07:50:25 PM,31326,1,1,34.0,154.0,34.0,34.0,34.0,0.0,154.0,154.0,154.0,0.0,6001.404584051586,63.84472961757007,31326.0,0.0,31326.0,31326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,31.922364808785034,31.922364808785034,34.0,154.0,74.0,69.2820323027551,4800.0,0,0,0,0,0,0,0,0,1.0,111.0,34.0,154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
163.70.144.60-192.168.1.4-443-57012-6,163.70.144.60,443,192.168.1.4,57012,6,18/12/2024 07:50:46 PM,5012793,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.567843914560205,0.9974479297270005,1253198.25,2505865.17465783,5011996.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012310.0,5012310.0,0.0,5012310.0,5012310.0,1,0,0,0,60,40,0.5984687578362002,0.3989791718908002,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,483.0,0.0,483.0,483.0,5011996.0,0.0,5011996.0,5011996.0,NeedManualLabel
